system:index,latitude,longitude,.geo
00000000000000001278,3.36669,29.10984,"{""type"":""Point"",""coordinates"":[29.10984106969064,3.3666881818674392]}"
000000000000000012b8,3.3995,29.0931166667,"{""type"":""Point"",""coordinates"":[29.093114981639157,3.3994982474186948]}"
000000000000000012b9,3.41825,29.0332166667,"{""type"":""Point"",""coordinates"":[29.03321587718822,3.418248767348434]}"
000000000000000012bc,3.3893666667,29.32295,"{""type"":""Point"",""coordinates"":[29.32295042723692,3.3893671698252654]}"
000000000000000012bd,3.4002,29.3287166667,"{""type"":""Point"",""coordinates"":[29.328716044899032,3.400198326284086]}"
000000000000000012be,3.4110333333,29.3410333333,"{""type"":""Point"",""coordinates"":[29.341032082008642,3.411033941843959]}"
000000000000000012bf,3.4158333333,29.3453333333,"{""type"":""Point"",""coordinates"":[29.345335114525216,3.4158319345774664]}"
000000000000000012c0,3.4207833333,29.3386,"{""type"":""Point"",""coordinates"":[29.33860187193452,3.420781536746792]}"
000000000000000012c1,3.4286333333,29.3504166667,"{""type"":""Point"",""coordinates"":[29.35041848972615,3.42863401370191]}"
000000000000000012c2,3.4519166667,29.3623333333,"{""type"":""Point"",""coordinates"":[29.36233320774095,3.451914980301951]}"
000000000000000012c3,3.4669833333,29.3833666667,"{""type"":""Point"",""coordinates"":[29.383366787410058,3.4669822827615446]}"
000000000000000012c4,3.3933833333,29.33725,"{""type"":""Point"",""coordinates"":[29.33725076431532,3.39338481987442]}"
00000000000000001271,3.31791,29.1769,"{""type"":""Point"",""coordinates"":[29.176901490433412,3.317910075443795]}"
00000000000000001272,2.95728,29.20974,"{""type"":""Point"",""coordinates"":[29.209738310590982,2.95728027774636]}"
00000000000000001273,2.94088,29.35544,"{""type"":""Point"",""coordinates"":[29.355439437512324,2.9408797040717864]}"
00000000000000001274,3.10892,29.57091,"{""type"":""Point"",""coordinates"":[29.570912118616942,3.108920927270894]}"
00000000000000001275,3.1146259931,29.2456057186,"{""type"":""Point"",""coordinates"":[29.245607319464902,3.114624117518251]}"
00000000000000001296,3.0377,29.5315333333,"{""type"":""Point"",""coordinates"":[29.531533797213957,3.0377001652452567]}"
00000000000000001297,2.9272833333,29.5649666667,"{""type"":""Point"",""coordinates"":[29.564968136912697,2.92728390495983]}"
00000000000000001298,2.9258,29.5742,"{""type"":""Point"",""coordinates"":[29.574198476093333,2.925799024309032]}"
00000000000000001299,2.91015,29.5396333333,"{""type"":""Point"",""coordinates"":[29.539631524727014,2.9101520387124906]}"
0000000000000000129a,2.88315,29.52335,"{""type"":""Point"",""coordinates"":[29.523351346780885,2.8831521818338754]}"
0000000000000000129b,2.9049666667,29.5609,"{""type"":""Point"",""coordinates"":[29.56090143675195,2.904966104187333]}"
0000000000000000129c,2.9246833333,29.5504166667,"{""type"":""Point"",""coordinates"":[29.550418090175302,2.924684249045671]}"
0000000000000000129d,2.8829666667,29.51835,"{""type"":""Point"",""coordinates"":[29.518348235398918,2.8829648995896315]}"
0000000000000000129e,2.89025,29.4581,"{""type"":""Point"",""coordinates"":[29.458101321065808,2.890251070710961]}"
0000000000000000129f,2.90715,29.4128,"{""type"":""Point"",""coordinates"":[29.412801313463856,2.9071510637035214]}"
000000000000000012a0,2.91275,29.3954166667,"{""type"":""Point"",""coordinates"":[29.395415278456472,2.912751694626649]}"
000000000000000012a1,2.9064166667,29.3781,"{""type"":""Point"",""coordinates"":[29.37810058906593,2.906415312029703]}"
000000000000000012a2,2.8948166667,29.3761,"{""type"":""Point"",""coordinates"":[29.376098452692943,2.8948171901896904]}"
000000000000000012a3,2.8796666667,29.3872166667,"{""type"":""Point"",""coordinates"":[29.387214991619185,2.879665164810081]}"
000000000000000012a4,2.8902333333,29.39905,"{""type"":""Point"",""coordinates"":[29.399049445815024,2.8902332343067476]}"
000000000000000012a5,2.8434,29.4351333333,"{""type"":""Point"",""coordinates"":[29.435132491539513,2.8433992959424055]}"
000000000000000012a6,2.8352833333,29.42365,"{""type"":""Point"",""coordinates"":[29.423650306326895,2.8352837320251343]}"
000000000000000012a7,2.92325,29.55975,"{""type"":""Point"",""coordinates"":[29.55975098868017,2.9232484185064616]}"
000000000000000012a8,2.9341333333,29.3813166667,"{""type"":""Point"",""coordinates"":[29.381315600925472,2.934133084177923]}"
000000000000000012a9,2.9369333333,29.3725833333,"{""type"":""Point"",""coordinates"":[29.37258468106283,2.9369333996394866]}"
000000000000000012aa,2.9624,29.3177833333,"{""type"":""Point"",""coordinates"":[29.31778232911598,2.9623993257557157]}"
000000000000000012ab,2.9530833333,29.2236333333,"{""type"":""Point"",""coordinates"":[29.22363286947352,2.953084263655067]}"
000000000000000012ac,3.1061333333,29.23975,"{""type"":""Point"",""coordinates"":[29.23974806068067,3.1061339891124904]}"
000000000000000012ad,3.1173333333,29.24555,"{""type"":""Point"",""coordinates"":[29.2455493511512,3.117335250958746]}"
000000000000000012ae,3.1445,29.2342666667,"{""type"":""Point"",""coordinates"":[29.234267825485993,3.1445000945763386]}"
