"[29.09027095523679, -0.17069033451820811]","[29.09027095523679, -0.161706636218154]","[29.081287609436682, -0.161706636218154]","[29.081287609436682, -0.17069033451820811]"
"[29.09027095523679, -0.19764144055456714]","[29.09027095523679, -0.18865774225451304]","[29.081287609436682, -0.18865774225451304]","[29.081287609436682, -0.19764144055456714]"
"[29.108237646837004, -0.19764144099027148]","[29.108237646837004, -0.18865774225451304]","[29.099254301036897, -0.18865774225451304]","[29.099254301036897, -0.19764144099027148]"
"[29.000437497235716, -0.2245925444164415]","[29.000437497235716, -0.21560884829087207]","[28.991454151435608, -0.21560884829087207]","[28.991454151435608, -0.2245925444164415]"
"[29.009420843035823, -0.23357624664570686]","[29.009420843035823, -0.22459255030299174]","[29.000437497235716, -0.22459255030299174]","[29.000437497235716, -0.23357624664570686]"
"[29.01840418883593, -0.23357624686291983]","[29.01840418883593, -0.22459255030299174]","[29.009420843035823, -0.22459255030299174]","[29.009420843035823, -0.23357624686291983]"
"[29.072304263636575, -0.23357624816761063]","[29.072304263636575, -0.22459255030299174]","[29.063320917836467, -0.22459255030299174]","[29.063320917836467, -0.23357624816761063]"
"[29.000437497235716, -0.2605273524649202]","[29.000437497235716, -0.2515436563393508]","[28.991454151435608, -0.2515436563393508]","[28.991454151435608, -0.2605273524649202]"
"[29.19807110483808, -0.26951105926978763]","[29.19807110483808, -0.26052735835147045]","[29.18908775903797, -0.26052735835147045]","[29.18908775903797, -0.26951105926978763]"
"[29.207054450638186, -0.26951105948841353]","[29.207054450638186, -0.26052735835147045]","[29.19807110483808, -0.26052735835147045]","[29.19807110483808, -0.26951105948841353]"
