"[29.562883420600752, 3.149635115017668]","[29.562883420600752, 3.1586188248684657]","[29.553900074800644, 3.1586188248684657]","[29.553900074800644, 3.149635115017668]"
"[29.553900074800644, 3.140651400279897]","[29.553900074800644, 3.1496351099094038]","[29.544916729000537, 3.1496351099094038]","[29.544916729000537, 3.140651400279897]"
"[29.562883420600752, 3.140651400058606]","[29.562883420600752, 3.1496351099094038]","[29.553900074800644, 3.1496351099094038]","[29.553900074800644, 3.140651400058606]"
"[29.57186676640086, 3.1406513998372474]","[29.57186676640086, 3.1496351099094038]","[29.562883420600752, 3.1496351099094038]","[29.562883420600752, 3.1406513998372474]"
"[29.59881680380118, 3.1406513991727687]","[29.59881680380118, 3.1496351099094038]","[29.589833458001074, 3.1496351099094038]","[29.589833458001074, 3.1406513991727687]"
"[29.60780014960129, 3.1406513989511415]","[29.60780014960129, 3.1496351099094038]","[29.59881680380118, 3.1496351099094038]","[29.59881680380118, 3.1406513989511415]"
"[29.562883420600752, 3.131667685099544]","[29.562883420600752, 3.140651394950342]","[29.553900074800644, 3.140651394950342]","[29.553900074800644, 3.131667685099544]"
"[29.57186676640086, 3.1316676848781855]","[29.57186676640086, 3.140651394950342]","[29.562883420600752, 3.140651394950342]","[29.562883420600752, 3.1316676848781855]"
"[29.580850112200967, 3.13166768465676]","[29.580850112200967, 3.140651394950342]","[29.57186676640086, 3.140651394950342]","[29.57186676640086, 3.13166768465676]"
"[29.59881680380118, 3.131667684213707]","[29.59881680380118, 3.140651394950342]","[29.589833458001074, 3.140651394950342]","[29.589833458001074, 3.131667684213707]"
"[29.544916729000537, 3.122683970582997]","[29.544916729000537, 3.13166767999128]","[29.53593338320043, 3.13166767999128]","[29.53593338320043, 3.122683970582997]"
"[29.562883420600752, 3.122683970140482]","[29.562883420600752, 3.13166767999128]","[29.553900074800644, 3.13166767999128]","[29.553900074800644, 3.122683970140482]"
"[29.57186676640086, 3.1226839699191236]","[29.57186676640086, 3.13166767999128]","[29.562883420600752, 3.13166767999128]","[29.562883420600752, 3.1226839699191236]"
"[29.59881680380118, 3.122683969254645]","[29.59881680380118, 3.13166767999128]","[29.589833458001074, 3.13166767999128]","[29.589833458001074, 3.122683969254645]"
"[29.60780014960129, 3.1226839690330177]","[29.60780014960129, 3.13166767999128]","[29.59881680380118, 3.13166767999128]","[29.59881680380118, 3.1226839690330177]"
"[29.616783495401396, 3.122683968811323]","[29.616783495401396, 3.13166767999128]","[29.60780014960129, 3.13166767999128]","[29.60780014960129, 3.122683968811323]"
"[29.562883420600752, 3.11370025518142]","[29.562883420600752, 3.122683965032218]","[29.553900074800644, 3.122683965032218]","[29.553900074800644, 3.11370025518142]"
"[29.57186676640086, 3.1137002549600616]","[29.57186676640086, 3.122683965032218]","[29.562883420600752, 3.122683965032218]","[29.562883420600752, 3.1137002549600616]"
"[29.580850112200967, 3.113700254738636]","[29.580850112200967, 3.122683965032218]","[29.57186676640086, 3.122683965032218]","[29.57186676640086, 3.113700254738636]"
"[29.589833458001074, 3.1137002545171435]","[29.589833458001074, 3.122683965032218]","[29.580850112200967, 3.122683965032218]","[29.580850112200967, 3.1137002545171435]"
"[29.59881680380118, 3.113700254295583]","[29.59881680380118, 3.122683965032218]","[29.589833458001074, 3.122683965032218]","[29.589833458001074, 3.113700254295583]"
"[29.60780014960129, 3.113700254073956]","[29.60780014960129, 3.122683965032218]","[29.59881680380118, 3.122683965032218]","[29.59881680380118, 3.113700254073956]"
"[29.562883420600752, 3.104716540222358]","[29.562883420600752, 3.113700250073156]","[29.553900074800644, 3.113700250073156]","[29.553900074800644, 3.104716540222358]"
"[29.57186676640086, 3.1047165400009997]","[29.57186676640086, 3.113700250073156]","[29.562883420600752, 3.113700250073156]","[29.562883420600752, 3.1047165400009997]"
"[29.580850112200967, 3.104716539779574]","[29.580850112200967, 3.113700250073156]","[29.57186676640086, 3.113700250073156]","[29.57186676640086, 3.104716539779574]"
"[29.589833458001074, 3.1047165395580816]","[29.589833458001074, 3.113700250073156]","[29.580850112200967, 3.113700250073156]","[29.580850112200967, 3.1047165395580816]"
"[29.59881680380118, 3.104716539336521]","[29.59881680380118, 3.113700250073156]","[29.589833458001074, 3.113700250073156]","[29.589833458001074, 3.104716539336521]"
"[29.589833458001074, 3.0957328245990197]","[29.589833458001074, 3.104716535114094]","[29.580850112200967, 3.104716535114094]","[29.580850112200967, 3.0957328245990197]"
