"[28.910604039234656, -2.281858646196037]","[28.910604039234656, -2.2728749522382237]","[28.90162069343455, -2.2728749522382237]","[28.90162069343455, -2.281858646196037]"
"[28.9645041140353, -2.335760819041841]","[28.9645041140353, -2.3267771237841814]","[28.955520768235193, -2.3267771237841814]","[28.955520768235193, -2.335760819041841]"
"[26.09881680380118, -2.6412049719804624]","[26.09881680380118, -2.6322213424723206]","[26.089833458001074, -2.6322213424723206]","[26.089833458001074, -2.6412049719804624]"
"[28.946537422435085, -0.26951086358565324]","[28.946537422435085, -0.260527168761545]","[28.937554076634978, -0.260527168761545]","[28.937554076634978, -0.26951086358565324]"
"[26.62883420600749, -2.569336096573955]","[26.62883420600749, -2.5603524554212966]","[26.619850860207382, -2.5603524554212966]","[26.619850860207382, -2.569336096573955]"
"[26.646800897607704, -2.5873033872789977]","[26.646800897607704, -2.5783197457275056]","[26.637817551807597, -2.5783197457275056]","[26.637817551807597, -2.5873033872789977]"
"[26.655784243407812, -2.587303387478515]","[26.655784243407812, -2.5783197457275056]","[26.646800897607704, -2.5783197457275056]","[26.646800897607704, -2.587303387478515]"
"[26.646800897607704, -2.596287032432102]","[26.646800897607704, -2.58730339088061]","[26.637817551807597, -2.58730339088061]","[26.637817551807597, -2.596287032432102]"
"[26.655784243407812, -2.5962870326316194]","[26.655784243407812, -2.58730339088061]","[26.646800897607704, -2.58730339088061]","[26.646800897607704, -2.5962870326316194]"
"[26.66476758920792, -2.5962870328312047]","[26.66476758920792, -2.58730339088061]","[26.655784243407812, -2.58730339088061]","[26.655784243407812, -2.5962870328312047]"
"[26.655784243407812, -2.605270677784724]","[26.655784243407812, -2.5962870360337145]","[26.646800897607704, -2.5962870360337145]","[26.646800897607704, -2.605270677784724]"
"[27.347501870016053, -2.6951074976022795]","[27.347501870016053, -2.686123840286361]","[27.338518524215946, -2.686123840286361]","[27.338518524215946, -2.6951074976022795]"
"[28.623136973631233, -2.623238929626573]","[28.623136973631233, -2.6142552425603656]","[28.614153627831126, -2.6142552425603656]","[28.614153627831126, -2.623238929626573]"
"[28.838737272833797, -2.48848364189914]","[28.838737272833797, -2.4794999496706875]","[28.82975392703369, -2.4794999496706875]","[28.82975392703369, -2.48848364189914]"
"[28.847720618633904, -2.4884836421150744]","[28.847720618633904, -2.4794999496706875]","[28.838737272833797, -2.4794999496706875]","[28.838737272833797, -2.4884836421150744]"
"[28.847720618633904, -2.497467337372734]","[28.847720618633904, -2.488483644928347]","[28.838737272833797, -2.488483644928347]","[28.838737272833797, -2.497467337372734]"
"[28.85670396443401, -2.497467337588736]","[28.85670396443401, -2.488483644928347]","[28.847720618633904, -2.488483644928347]","[28.847720618633904, -2.497467337588736]"
"[28.89263734763444, -2.4974673384534163]","[28.89263734763444, -2.488483644928347]","[28.883654001834334, -2.488483644928347]","[28.883654001834334, -2.4974673384534163]"
"[28.85670396443401, -2.5064510328463956]","[28.85670396443401, -2.497467340186007]","[28.847720618633904, -2.497467340186007]","[28.847720618633904, -2.5064510328463956]"
"[28.86568731023412, -2.506451033062465]","[28.86568731023412, -2.497467340186007]","[28.85670396443401, -2.497467340186007]","[28.85670396443401, -2.506451033062465]"
"[28.874670656034226, -2.5064510332786014]","[28.874670656034226, -2.497467340186007]","[28.86568731023412, -2.497467340186007]","[28.86568731023412, -2.5064510332786014]"
"[28.883654001834334, -2.506451033494805]","[28.883654001834334, -2.497467340186007]","[28.874670656034226, -2.497467340186007]","[28.874670656034226, -2.506451033494805]"
"[28.89263734763444, -2.506451033711076]","[28.89263734763444, -2.497467340186007]","[28.883654001834334, -2.497467340186007]","[28.883654001834334, -2.506451033711076]"
"[28.85670396443401, -2.515434728104055]","[28.85670396443401, -2.5064510354436664]","[28.847720618633904, -2.5064510354436664]","[28.847720618633904, -2.515434728104055]"
"[28.86568731023412, -2.5154347283201246]","[28.86568731023412, -2.5064510354436664]","[28.85670396443401, -2.5064510354436664]","[28.85670396443401, -2.5154347283201246]"
"[28.874670656034226, -2.515434728536261]","[28.874670656034226, -2.5064510354436664]","[28.86568731023412, -2.5064510354436664]","[28.86568731023412, -2.515434728536261]"
"[28.847720618633904, -2.524418423145713]","[28.847720618633904, -2.515434730701326]","[28.838737272833797, -2.515434730701326]","[28.838737272833797, -2.524418423145713]"
"[28.85670396443401, -2.524418423361715]","[28.85670396443401, -2.515434730701326]","[28.847720618633904, -2.515434730701326]","[28.847720618633904, -2.524418423361715]"
"[28.86568731023412, -2.5244184235777842]","[28.86568731023412, -2.515434730701326]","[28.85670396443401, -2.515434730701326]","[28.85670396443401, -2.5244184235777842]"
"[28.847720618633904, -2.5334021184033726]","[28.847720618633904, -2.5244184259589857]","[28.838737272833797, -2.5244184259589857]","[28.838737272833797, -2.5334021184033726]"
"[28.85670396443401, -2.5334021186193745]","[28.85670396443401, -2.5244184259589857]","[28.847720618633904, -2.5244184259589857]","[28.847720618633904, -2.5334021186193745]"
"[28.85670396443401, -2.542385813877034]","[28.85670396443401, -2.5334021212166453]","[28.847720618633904, -2.5334021212166453]","[28.847720618633904, -2.542385813877034]"
"[28.86568731023412, -2.551369509350763]","[28.86568731023412, -2.542385816474305]","[28.85670396443401, -2.542385816474305]","[28.85670396443401, -2.551369509350763]"
"[28.874670656034226, -2.5513695095668996]","[28.874670656034226, -2.542385816474305]","[28.86568731023412, -2.542385816474305]","[28.86568731023412, -2.5513695095668996]"
"[28.874670656034226, -2.6681575479164747]","[28.874670656034226, -2.65917385482388]","[28.86568731023412, -2.65917385482388]","[28.86568731023412, -2.6681575479164747]"
"[28.955520768235193, -2.6951086356377094]","[28.955520768235193, -2.686124940596859]","[28.946537422435085, -2.686124940596859]","[28.946537422435085, -2.6951086356377094]"
"[29.09027095523679, -0.17069033451820811]","[29.09027095523679, -0.161706636218154]","[29.081287609436682, -0.161706636218154]","[29.081287609436682, -0.17069033451820811]"
"[29.09027095523679, -0.19764144055456714]","[29.09027095523679, -0.18865774225451304]","[29.081287609436682, -0.18865774225451304]","[29.081287609436682, -0.19764144055456714]"
"[29.108237646837004, -0.19764144099027148]","[29.108237646837004, -0.18865774225451304]","[29.099254301036897, -0.18865774225451304]","[29.099254301036897, -0.19764144099027148]"
"[29.000437497235716, -0.2245925444164415]","[29.000437497235716, -0.21560884829087207]","[28.991454151435608, -0.21560884829087207]","[28.991454151435608, -0.2245925444164415]"
"[29.009420843035823, -0.23357624664570686]","[29.009420843035823, -0.22459255030299174]","[29.000437497235716, -0.22459255030299174]","[29.000437497235716, -0.23357624664570686]"
"[29.01840418883593, -0.23357624686291983]","[29.01840418883593, -0.22459255030299174]","[29.009420843035823, -0.22459255030299174]","[29.009420843035823, -0.23357624686291983]"
"[29.072304263636575, -0.23357624816761063]","[29.072304263636575, -0.22459255030299174]","[29.063320917836467, -0.22459255030299174]","[29.063320917836467, -0.23357624816761063]"
"[29.000437497235716, -0.2605273524649202]","[29.000437497235716, -0.2515436563393508]","[28.991454151435608, -0.2515436563393508]","[28.991454151435608, -0.2605273524649202]"
"[29.19807110483808, -0.26951105926978763]","[29.19807110483808, -0.26052735835147045]","[29.18908775903797, -0.26052735835147045]","[29.18908775903797, -0.26951105926978763]"
"[29.207054450638186, -0.26951105948841353]","[29.207054450638186, -0.26052735835147045]","[29.19807110483808, -0.26052735835147045]","[29.19807110483808, -0.26951105948841353]"
"[26.080850112200967, -2.8927485693609105]","[26.080850112200967, -2.883764940243394]","[26.07186676640086, -2.883764940243394]","[26.07186676640086, -2.8927485693609105]"
"[26.92528461741102, -2.749010546149811]","[26.92528461741102, -2.7400268983819847]","[26.916301271610912, -2.7400268983819847]","[26.916301271610912, -2.749010546149811]"
"[27.18580164561412, -2.865798127688983]","[27.18580164561412, -2.856814474047341]","[27.176818299814013, -2.856814474047341]","[27.176818299814013, -2.865798127688983]"
