"[29.54491672900052, 3.1765861471719576]","[29.54491672900052, 3.181078001931401]","[29.540425056100467, 3.181078001931401]","[29.540425056100467, 3.1765861471719576]"
"[29.54940840190057, 3.1765861471166477]","[29.54940840190057, 3.181078001931401]","[29.54491672900052, 3.181078001931401]","[29.54491672900052, 3.1765861471166477]"
"[29.54940840190057, 3.1720942918037243]","[29.54940840190057, 3.1765861466184777]","[29.54491672900052, 3.1765861466184777]","[29.54491672900052, 3.1720942918037243]"
"[29.54491672900052, 3.158618725920264]","[29.54491672900052, 3.1631105806797075]","[29.540425056100467, 3.1631105806797075]","[29.540425056100467, 3.158618725920264]"
"[29.58983345800104, 3.1541268700538607]","[29.58983345800104, 3.158618725366784]","[29.585341785100987, 3.158618725366784]","[29.585341785100987, 3.1541268700538607]"
"[29.553900074800623, 3.149635015183789]","[29.553900074800623, 3.1541268700538607]","[29.54940840190057, 3.1541268700538607]","[29.54940840190057, 3.149635015183789]"
"[29.558391747700675, 3.1496350151284616]","[29.558391747700675, 3.1541268700538607]","[29.553900074800623, 3.1541268700538607]","[29.553900074800623, 3.1496350151284616]"
"[29.562883420600727, 3.1496350150731263]","[29.562883420600727, 3.1541268700538607]","[29.558391747700675, 3.1541268700538607]","[29.558391747700675, 3.1496350150731263]"
"[29.56737509350078, 3.1496350150177825]","[29.56737509350078, 3.1541268700538607]","[29.562883420600727, 3.1541268700538607]","[29.562883420600727, 3.1496350150177825]"
"[29.58983345800104, 3.1496350147409373]","[29.58983345800104, 3.1541268700538607]","[29.585341785100987, 3.1541268700538607]","[29.585341785100987, 3.1496350147409373]"
"[29.54940840190057, 3.145143159926184]","[29.54940840190057, 3.1496350147409373]","[29.54491672900052, 3.1496350147409373]","[29.54491672900052, 3.145143159926184]"
"[29.553900074800623, 3.1451431598708655]","[29.553900074800623, 3.1496350147409373]","[29.54940840190057, 3.1496350147409373]","[29.54940840190057, 3.1451431598708655]"
"[29.558391747700675, 3.145143159815538]","[29.558391747700675, 3.1496350147409373]","[29.553900074800623, 3.1496350147409373]","[29.553900074800623, 3.145143159815538]"
"[29.562883420600727, 3.145143159760203]","[29.562883420600727, 3.1496350147409373]","[29.558391747700675, 3.1496350147409373]","[29.558391747700675, 3.145143159760203]"
"[29.56737509350078, 3.145143159704859]","[29.56737509350078, 3.1496350147409373]","[29.562883420600727, 3.1496350147409373]","[29.562883420600727, 3.145143159704859]"
"[29.57186676640083, 3.145143159649507]","[29.57186676640083, 3.1496350147409373]","[29.56737509350078, 3.1496350147409373]","[29.56737509350078, 3.145143159649507]"
"[29.540425056100467, 3.1406513047238724]","[29.540425056100467, 3.145143159428014]","[29.535933383200415, 3.145143159428014]","[29.535933383200415, 3.1406513047238724]"
"[29.54491672900052, 3.1406513046685705]","[29.54491672900052, 3.145143159428014]","[29.540425056100467, 3.145143159428014]","[29.540425056100467, 3.1406513046685705]"
"[29.54940840190057, 3.1406513046132605]","[29.54940840190057, 3.145143159428014]","[29.54491672900052, 3.145143159428014]","[29.54491672900052, 3.1406513046132605]"
"[29.553900074800623, 3.140651304557942]","[29.553900074800623, 3.145143159428014]","[29.54940840190057, 3.145143159428014]","[29.54940840190057, 3.140651304557942]"
