             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          24951342     short routine_ agarwal. PD       0:00      1 (Priority)
          24951341     short routine_ agarwal. PD       0:00      1 (Priority)
          24951340     short routine_ agarwal. PD       0:00      1 (Priority)
          24951339     short routine_ agarwal. PD       0:00      1 (Priority)
          24951338     short routine_ agarwal. PD       0:00      1 (Priority)
          24951336     short routine_ agarwal. PD       0:00      1 (Priority)
          24951335     short routine_ agarwal. PD       0:00      1 (Priority)
          24951334     short routine_ agarwal. PD       0:00      1 (Priority)
          24951333     short routine_ agarwal. PD       0:00      1 (Priority)
          24951332     short routine_ agarwal. PD       0:00      1 (Priority)
          24951331     short routine_ agarwal. PD       0:00      1 (Priority)
          24951330     short routine_ agarwal. PD       0:00      1 (Priority)
          24951328     short routine_ agarwal. PD       0:00      1 (Priority)
          24951327     short routine_ agarwal. PD       0:00      1 (Priority)
          24951326     short routine_ agarwal. PD       0:00      1 (Priority)
          24951325     short routine_ agarwal. PD       0:00      1 (Priority)
          24951323     short routine_ agarwal. PD       0:00      1 (Priority)
          24951322     short routine_ agarwal. PD       0:00      1 (Priority)
          24951321     short routine_ agarwal. PD       0:00      1 (Priority)
          24951320     short routine_ agarwal. PD       0:00      1 (Priority)
          24951319     short routine_ agarwal. PD       0:00      1 (Priority)
          24951318     short routine_ agarwal. PD       0:00      1 (Priority)
          24951317     short routine_ agarwal. PD       0:00      1 (Priority)
          24951316     short routine_ agarwal. PD       0:00      1 (Priority)
          24951315     short routine_ agarwal. PD       0:00      1 (Priority)
          24951314     short routine_ agarwal. PD       0:00      1 (Priority)
          24951313     short routine_ agarwal. PD       0:00      1 (Priority)
          24951312     short routine_ agarwal. PD       0:00      1 (Priority)
          24951311     short routine_ agarwal. PD       0:00      1 (Priority)
          24951310     short routine_ agarwal. PD       0:00      1 (Priority)
          24951309     short routine_ agarwal. PD       0:00      1 (Priority)
          24951308     short routine_ agarwal. PD       0:00      1 (Priority)
          24951307     short routine_ agarwal. PD       0:00      1 (Priority)
          24951306     short routine_ agarwal. PD       0:00      1 (Priority)
          24951305     short routine_ agarwal. PD       0:00      1 (Priority)
          24951304     short routine_ agarwal. PD       0:00      1 (Priority)
          24951303     short routine_ agarwal. PD       0:00      1 (Priority)
          24951302     short routine_ agarwal. PD       0:00      1 (Priority)
          24951301     short routine_ agarwal. PD       0:00      1 (Priority)
          24951300     short routine_ agarwal. PD       0:00      1 (Priority)
          24951299     short routine_ agarwal. PD       0:00      1 (Priority)
          24951298     short routine_ agarwal. PD       0:00      1 (Priority)
          24951296     short routine_ agarwal. PD       0:00      1 (Priority)
          24951295     short routine_ agarwal. PD       0:00      1 (Priority)
          24951294     short routine_ agarwal. PD       0:00      1 (Priority)
          24951293     short routine_ agarwal. PD       0:00      1 (Priority)
          24951292     short routine_ agarwal. PD       0:00      1 (Priority)
          24951291     short routine_ agarwal. PD       0:00      1 (Priority)
          24949585     short sys/dash agarwal.  R    1:30:46      1 c0319
          24951278     short start_ro agarwal.  R       0:36      1 c0219
