system:index,latitude,longitude,.geo
00000000000000000ff7,-7.084845,29.85312,"{""type"":""Point"",""coordinates"":[29.85311970608742,-7.084847167868537]}"
00000000000000000ffe,-7.027252,29.607347,"{""type"":""Point"",""coordinates"":[29.607347433324644,-7.027253418662231]}"
00000000000000001000,-7.0374116667,29.6106233333,"{""type"":""Point"",""coordinates"":[29.610624872598926,-7.03741125086198]}"
00000000000000001001,-7.0202416667,29.60476,"{""type"":""Point"",""coordinates"":[29.60476115471365,-7.020243711806213]}"
00000000000000001007,-7.03152,29.691862,"{""type"":""Point"",""coordinates"":[29.691860775590605,-7.0315207783703775]}"
00000000000000001008,-7.0236016667,29.686475,"{""type"":""Point"",""coordinates"":[29.68647418151804,-7.023601414899458]}"
00000000000000001017,-7.0019116667,29.6683533333,"{""type"":""Point"",""coordinates"":[29.66835239483684,-7.001912347375497]}"
0000000000000000101b,-7.0360183333,29.69051,"{""type"":""Point"",""coordinates"":[29.690509667971412,-7.036020011333305]}"
0000000000000000101e,-7.2234083333,29.69855,"{""type"":""Point"",""coordinates"":[29.698549427170775,-7.2234092740033145]}"
00000000000000001025,-7.013349,29.744091,"{""type"":""Point"",""coordinates"":[29.74409022622962,-7.013349941577586]}"
0000000000000000041e,-7.027252,29.607347,"{""type"":""Point"",""coordinates"":[29.607347433324644,-7.027253418662231]}"
0000000000000000041f,-7.008962,29.678278,"{""type"":""Point"",""coordinates"":[29.67827835378181,-7.008962186140995]}"
00000000000000000420,-7.03152,29.691862,"{""type"":""Point"",""coordinates"":[29.691860775590605,-7.0315207783703775]}"
00000000000000000464,-7.013349,29.744091,"{""type"":""Point"",""coordinates"":[29.74409022622962,-7.013349941577586]}"
0000000000000000046f,-7.460657,29.103519,"{""type"":""Point"",""coordinates"":[29.10351806439685,-7.460655745551901]}"
