Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
2.769908515705298058e+01,-7.108218211451114321e+00,2.770135218686015932e+01,-7.105969016879455147e+00,0.000000000000000000e+00,1.575856948577615846e+01,1.888801379564915450e+01,3.871265311889561800e-01,6.140642199105837973e-01,5.782603451164352464e+02,-1.651776383821354329e+03,-2.214800715424293685e+03,7.412790697674418450e-01,1.407440073418178283e-01,1.731923506478010855e-01,2.770021867195656995e+01,-7.107093614165284734e+00,4.000000000000000000e+00,6.000000000000000000e+00,Pass
2.770135218686015932e+01,-7.110467406022773496e+00,2.770361921666733807e+01,-7.108218211451114321e+00,0.000000000000000000e+00,1.569678893000673270e+01,1.316489209287521867e+01,4.170048746870334000e-01,6.281175424599236834e-01,5.797322266934946811e+02,5.832528704619097653e+02,1.804519085945944568e+01,1.504014823965410530e-01,1.284804440558605654e-01,1.682332035718668295e-01,2.770248570176374869e+01,-7.109342808736943908e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.775576090223244918e+01,-7.126211768024387716e+00,2.775802793203962793e+01,-7.123962573452728542e+00,0.000000000000000000e+00,1.359561752289041259e+01,1.132947272051814913e+01,4.418017162830216726e-01,6.339355866008080653e-01,5.703211050218098990e+02,5.629873046875000000e+02,7.332641601562500000e+00,-9.990000000000000000e+02,1.165909064716896537e-01,1.587055645881418897e-01,2.775689441713603856e+01,-7.125087170738558129e+00,3.000000000000000000e+00,6.000000000000000000e+00,Pass
2.797113676771513724e+01,-7.184690826887526249e+00,2.797340379752231598e+01,-7.182441632315867075e+00,0.000000000000000000e+00,1.062935910354335434e+01,3.335451838508723199e+01,3.847430504256561523e-01,5.612327355469649559e-01,5.854310855355047352e+02,5.770095792925969818e+02,7.360806836822602506e+00,7.111027190332326331e-01,1.269630030938035115e-01,1.738427718984765780e-01,2.797227028261872661e+01,-7.183566229601696662e+00,7.000000000000000000e+00,8.000000000000000000e+00,Pass
2.739077178126703060e+01,-7.276927723770903356e+00,2.739303925739836387e+01,-7.274678529199276156e+00,0.000000000000000000e+00,9.966201296137799659e+01,1.367960575698795544e+01,4.213113971716666573e-01,6.169520848148883907e-01,6.295563687150832948e+02,6.303488559251800325e+02,1.504145423546103011e+01,6.770107663077897797e-01,1.856737223358591593e-01,2.481796030054381486e-01,2.739190551933269546e+01,-7.275803126485089756e+00,6.000000000000000000e+00,4.000000000000000000e+00,Pass
2.739077178126703060e+01,-7.279176918342530556e+00,2.739303925739836387e+01,-7.276927723770903356e+00,0.000000000000000000e+00,9.947667507588772651e+01,2.213759785086174503e+01,3.977241213687987553e-01,6.046691445192055037e-01,6.319543957577448055e+02,6.341926502446245877e+02,1.690181439773627048e+01,5.170704845814978468e-01,1.955634015900416800e-01,2.501918795334059364e-01,2.739190551933269546e+01,-7.278052321056716956e+00,3.000000000000000000e+00,8.000000000000000000e+00,Pass
2.745651341404301604e+01,-7.261183361769512956e+00,2.745878089017434576e+01,-7.258934167197885756e+00,8.561562510529687131e+01,8.668671364698882087e+01,1.275647909331368091e+01,4.040959728458137779e-01,6.183533748575279487e-01,6.280638226589981059e+02,1.809320001241885166e+03,1.197194957031492095e+03,4.462072384729796892e-02,1.683373121995097865e-01,2.136067103924735866e-01,2.745764715210868090e+01,-7.260058764483699356e+00,3.000000000000000000e+00,5.000000000000000000e+00,Pass
2.746331584243700519e+01,-7.261183361769512956e+00,2.746558331856833490e+01,-7.258934167197885756e+00,9.060405871297328417e+01,9.787012266575169406e+01,1.588719736413283812e+01,3.670802165448648346e-01,5.626267796737679516e-01,6.270935143288081690e+02,2.447367542643669367e+03,1.833938559484417056e+03,-9.990000000000000000e+02,1.974283181363469808e-01,2.142724030669719282e-01,2.746444958050267005e+01,-7.260058764483699356e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.746558331856833490e+01,-7.261183361769512956e+00,2.746785079469966462e+01,-7.258934167197885756e+00,1.795574533783686810e+00,3.972886807056617187e+01,2.299392813990564832e+01,3.699228274455670373e-01,4.242691239589124197e-01,6.265841667132237944e+02,1.816259222475176784e+03,1.204356469908756935e+03,2.927669345579793636e-01,1.789735080333784700e-01,1.946979772868250580e-01,2.746671705663399976e+01,-7.260058764483699356e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.746331584243700519e+01,-7.263432556341140156e+00,2.746558331856833490e+01,-7.261183361769512956e+00,1.485032426674522910e+01,4.714325806610562353e+01,3.514427173597361787e+01,3.060398408456007080e-01,3.812627636807594533e-01,6.303731493379515314e+02,1.835166468506925867e+03,1.217896568405044718e+03,4.973776223776222860e-01,1.998861415276190767e-01,2.007873517730610347e-01,2.746444958050267005e+01,-7.262307959055326556e+00,6.000000000000000000e+00,8.000000000000000000e+00,Pass
2.745424593791168633e+01,-7.265681750912767356e+00,2.745651341404301604e+01,-7.263432556341140156e+00,0.000000000000000000e+00,8.767532869319401811e+01,9.358814171886081112e+00,4.066150061408901339e-01,6.244902996747179191e-01,6.284559776536309528e+02,6.233396268996767731e+02,1.418415223866535158e+01,3.107606679035250230e-01,1.819810041815183854e-01,2.298042208330610403e-01,2.745537967597735118e+01,-7.264557153626953756e+00,4.000000000000000000e+00,6.000000000000000000e+00,Pass
2.745651341404301604e+01,-7.265681750912767356e+00,2.745878089017434576e+01,-7.263432556341140156e+00,0.000000000000000000e+00,8.143484707067780448e+01,2.519046805643510112e+01,3.546288996262284554e-01,5.857558658073384050e-01,6.368404065222243844e+02,6.256743369048496106e+02,4.090115068543632049e+00,4.226415094339622813e-01,1.954258453386840122e-01,2.306603402614659237e-01,2.745764715210868090e+01,-7.264557153626953756e+00,1.000000000000000000e+00,6.000000000000000000e+00,Pass
2.746331584243700519e+01,-7.265681750912767356e+00,2.746558331856833490e+01,-7.263432556341140156e+00,0.000000000000000000e+00,2.150176974273114894e+01,3.935380081767814175e+01,3.358896075079312316e-01,3.998359133967672729e-01,6.305879231370793150e+02,6.165067259776568562e+02,4.048435641183771416e+00,4.957152274225445354e-01,1.862518746915081402e-01,1.953985954420371651e-01,2.746444958050267005e+01,-7.264557153626953756e+00,6.000000000000000000e+00,7.000000000000000000e+00,Pass
2.745651341404301604e+01,-7.267930945484394556e+00,2.745878089017434576e+01,-7.265681750912767356e+00,0.000000000000000000e+00,9.960017384630226900e+01,2.339982481373909096e+01,3.711541435741480544e-01,6.082379366375514351e-01,6.296015071169414341e+02,6.840516344514137472e+02,7.286013692527379249e+01,2.296072507552869846e-01,2.136222101574915544e-01,2.454000474809803212e-01,2.745764715210868090e+01,-7.266806348198580956e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.745878089017434576e+01,-7.267930945484394556e+00,2.746104836630567547e+01,-7.265681750912767356e+00,1.000000000000000000e+02,9.947660057304858583e+01,1.389642822648795040e+01,3.585260188031509365e-01,5.020792573088951327e-01,6.379830801876255464e+02,1.416376733262299467e+03,7.920399893721684066e+02,5.260223048327137274e-01,1.997699202708782817e-01,2.250461893325693130e-01,2.745991462824001061e+01,-7.266806348198580956e+00,1.000000000000000000e+00,6.000000000000000000e+00,Pass
2.746104836630567547e+01,-7.267930945484394556e+00,2.746331584243700519e+01,-7.265681750912767356e+00,0.000000000000000000e+00,9.885873301263920609e+01,8.425171538657393455e+01,4.401644839279911237e-02,-2.638947641688203505e-01,6.262175830309796538e+02,6.294073494394446016e+02,2.165712761563876754e+01,2.511013215859030923e-01,2.838252175683378953e-01,1.976936736778807102e-01,2.746218210437134033e+01,-7.266806348198580956e+00,7.000000000000000000e+00,8.000000000000000000e+00,Pass
2.744971098564902690e+01,-7.270180140056021756e+00,2.745197846178035661e+01,-7.267930945484394556e+00,3.254239539895960576e+01,6.734765744037733981e+00,1.577042278240204709e+01,4.440668985210733388e-01,6.129887102420975564e-01,6.141082816775566471e+02,1.744415787342854628e+03,1.144245731570314547e+03,3.548034934497816539e-02,1.279229183294416095e-01,1.869290077690305141e-01,2.745084472371469175e+01,-7.269055542770208156e+00,2.000000000000000000e+00,7.000000000000000000e+00,Pass
2.745878089017434576e+01,-7.270180140056021756e+00,2.746104836630567547e+01,-7.267930945484394556e+00,1.000000000000000000e+02,9.638729641599564957e+01,8.359555678330185913e+01,-1.431928037819758630e-02,-4.616827970112378776e-01,6.251199575371551873e+02,2.295342034026866259e+03,1.682938477261375738e+03,6.488549618320610390e-01,3.046961978189453024e-01,1.981473233850926108e-01,2.745991462824001061e+01,-7.269055542770208156e+00,7.000000000000000000e+00,8.000000000000000000e+00,Pass
2.746104836630567547e+01,-7.270180140056021756e+00,2.746331584243700519e+01,-7.267930945484394556e+00,0.000000000000000000e+00,9.805553193959444513e+01,4.913529191463544521e+01,2.414158023866884994e-01,3.002596283677180788e-01,6.311319037248007362e+02,6.232839714720363418e+02,6.514172099955461093e+00,8.035439137134052778e-01,2.188621124224280345e-01,2.061305828619264258e-01,2.746218210437134033e+01,-7.269055542770208156e+00,5.000000000000000000e+00,8.000000000000000000e+00,Pass
2.746331584243700519e+01,-7.270180140056021756e+00,2.746558331856833490e+01,-7.267930945484394556e+00,0.000000000000000000e+00,2.125465774880716907e+01,1.846187506829058123e+01,4.205589474214062595e-01,5.339834755480312722e-01,6.395051955307261551e+02,2.497640933935193516e+03,1.872372315485120680e+03,-9.990000000000000000e+02,1.791206637149931058e-01,2.144463488107581917e-01,2.746444958050267005e+01,-7.269055542770208156e+00,5.000000000000000000e+00,6.000000000000000000e+00,Pass
2.744971098564902690e+01,-7.272429334627648956e+00,2.745197846178035661e+01,-7.270180140056021756e+00,1.000000000000000000e+02,7.037502695930557195e+01,1.962405047316975626e+01,2.411953787673832839e-01,3.062700538137244632e-01,6.115533031775286190e+02,2.491303827205991183e+03,1.895277358138515638e+03,1.307984790874524850e-01,1.966359401411296171e-01,1.923670609653445329e-01,2.745084472371469175e+01,-7.271304737341835356e+00,3.000000000000000000e+00,7.000000000000000000e+00,Pass
2.745197846178035661e+01,-7.272429334627648956e+00,2.745424593791168633e+01,-7.270180140056021756e+00,6.623156120326586915e+01,8.687211136413333179e+01,3.476610054277969653e+01,1.678775994001100724e-01,1.232340224203705425e-01,6.106959459459458230e+02,1.460278207815448468e+03,8.622597427480527585e+02,4.366715758468335262e-01,2.374071068017477582e-01,2.186157504137816732e-01,2.745311219984602147e+01,-7.271304737341835356e+00,6.000000000000000000e+00,8.000000000000000000e+00,Pass
2.745651341404301604e+01,-7.272429334627648956e+00,2.745878089017434576e+01,-7.270180140056021756e+00,0.000000000000000000e+00,9.960019895726533434e+01,6.074066919399473363e+01,1.386339940557162753e-01,2.370530755469574258e-02,6.238655832914504344e+02,3.932427263242766458e+03,3.322689775614165228e+03,2.100538599640933701e-01,2.540102850257968670e-01,2.000886074863863773e-01,2.745764715210868090e+01,-7.271304737341835356e+00,6.000000000000000000e+00,8.000000000000000000e+00,Pass
2.745878089017434576e+01,-7.272429334627648956e+00,2.746104836630567547e+01,-7.270180140056021756e+00,0.000000000000000000e+00,5.900632670026629967e+01,2.815439906106507095e+01,2.833091727536756199e-01,3.869228228843625828e-01,6.276421787709498403e+02,6.115697659790971557e+02,1.808709530429985834e+00,6.755725190839694250e-01,1.999631451352556488e-01,2.015148200816958834e-01,2.745991462824001061e+01,-7.271304737341835356e+00,5.000000000000000000e+00,8.000000000000000000e+00,Pass
2.746104836630567547e+01,-7.272429334627648956e+00,2.746331584243700519e+01,-7.270180140056021756e+00,0.000000000000000000e+00,6.611180684146088993e+01,4.547629946944800139e+01,3.504494424112216122e-01,5.545446081027732843e-01,6.567028868166846678e+02,6.703306708313278932e+02,1.731754422300799945e+01,1.000000000000000000e+00,1.682737086850972508e-01,2.030050927255861448e-01,2.746218210437134033e+01,-7.271304737341835356e+00,0.000000000000000000e+00,7.000000000000000000e+00,Pass
2.744744350951769718e+01,-7.274678529199276156e+00,2.744971098564902690e+01,-7.272429334627648956e+00,1.000000000000000000e+02,9.576943313802802038e+01,4.356333128379831976e+01,8.424110508253049301e-02,4.587924071687467242e-02,6.086830466830464275e+02,7.401523844157970871e+02,1.448838489066077955e+02,-9.990000000000000000e+02,2.847765024119299215e-01,2.271333978391256170e-01,2.744857724758336204e+01,-7.273553931913462556e+00,4.000000000000000000e+00,8.000000000000000000e+00,Pass
2.744971098564902690e+01,-7.274678529199276156e+00,2.745197846178035661e+01,-7.272429334627648956e+00,1.000000000000000000e+02,9.947664772235796704e+01,9.599062858257470054e+01,-2.220211817720291192e-01,-7.860500491279284185e-01,5.990257898850057927e+02,5.994658366910468885e+02,1.556895642317137884e+01,8.378970427163198176e-01,3.405173032971653413e-01,1.889022582772389436e-01,2.745084472371469175e+01,-7.273553931913462556e+00,8.000000000000000000e+00,7.000000000000000000e+00,Pass
2.745197846178035661e+01,-7.274678529199276156e+00,2.745424593791168633e+01,-7.272429334627648956e+00,1.000000000000000000e+02,9.953843426519044613e+01,9.678583513128192806e+01,-2.106892130138936503e-01,-7.563466693575394695e-01,5.992373988277976196e+02,7.302053109020738475e+02,1.428724300801868594e+02,-9.990000000000000000e+02,3.340953435910946068e-01,1.886146665518558807e-01,2.745311219984602147e+01,-7.273553931913462556e+00,8.000000000000000000e+00,6.000000000000000000e+00,Pass
2.744744350951769718e+01,-7.276927723770903356e+00,2.744971098564902690e+01,-7.274678529199276156e+00,0.000000000000000000e+00,9.960022610943759958e+01,6.116888319440037236e+01,-3.614771090353152694e-02,-2.055625317576958988e-01,6.064177844846856260e+02,7.919002980418019888e+02,1.984084412413758116e+02,4.415584415584415945e-01,2.926460986248061724e-01,2.012854707478597127e-01,2.744857724758336204e+01,-7.275803126485089756e+00,5.000000000000000000e+00,8.000000000000000000e+00,Pass
2.744971098564902690e+01,-7.276927723770903356e+00,2.745197846178035661e+01,-7.274678529199276156e+00,1.000000000000000000e+02,9.953843950187291512e+01,9.180335192163360603e+01,-2.053200594135585477e-01,-7.442197359754479935e-01,6.002047486033517316e+02,1.888437882961580499e+03,1.303750833135117318e+03,-9.990000000000000000e+02,3.344491146845640639e-01,1.897063702511322947e-01,2.745084472371469175e+01,-7.275803126485089756e+00,8.000000000000000000e+00,6.000000000000000000e+00,Pass
2.745197846178035661e+01,-7.276927723770903356e+00,2.745424593791168633e+01,-7.274678529199276156e+00,1.000000000000000000e+02,9.966201296153793976e+01,8.853360539467716706e+01,-1.912007922559784412e-02,-2.511932240452526832e-01,6.126255516451593621e+02,7.158577240397606829e+02,1.293838724146315542e+02,-9.990000000000000000e+02,3.035596294889850721e-01,2.212668920081840018e-01,2.745311219984602147e+01,-7.275803126485089756e+00,4.000000000000000000e+00,8.000000000000000000e+00,Pass
2.745424593791168633e+01,-7.276927723770903356e+00,2.745651341404301604e+01,-7.274678529199276156e+00,0.000000000000000000e+00,9.237117886028750036e+01,3.120726753163668477e+01,3.211608256866408384e-01,5.314711796507067820e-01,6.461300095019832952e+02,1.282931936903427186e+03,6.493019391869660240e+02,5.785592739648326432e-01,2.098674312826408761e-01,2.437194334534987794e-01,2.745537967597735118e+01,-7.275803126485089756e+00,3.000000000000000000e+00,6.000000000000000000e+00,Pass
2.745651341404301604e+01,-7.276927723770903356e+00,2.745878089017434576e+01,-7.274678529199276156e+00,0.000000000000000000e+00,6.228101506052949787e+01,2.375018986792975539e+01,3.691483236777163834e-01,5.614413256864413393e-01,6.468554189944127302e+02,6.436421508789062500e+02,1.036898803710937500e+01,5.000000000000000000e-01,1.684585822131516586e-01,2.115751666499985917e-01,2.745764715210868090e+01,-7.275803126485089756e+00,3.000000000000000000e+00,7.000000000000000000e+00,Pass
2.745878089017434576e+01,-7.276927723770903356e+00,2.746104836630567547e+01,-7.274678529199276156e+00,0.000000000000000000e+00,1.390204074801281742e+01,1.691594803575173245e+01,4.330561841347170815e-01,6.216207249995138184e-01,6.452249860257122691e+02,6.825582815586835750e+02,5.182882889203185073e+01,-9.990000000000000000e+02,1.479445547489882662e-01,2.004926745237710084e-01,2.745991462824001061e+01,-7.275803126485089756e+00,5.000000000000000000e+00,5.000000000000000000e+00,Pass
