Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
2.955412927298568349e+01,3.156918290159481444e+00,2.955638234701052625e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.229688565973676706e-01,6.912829515277553183e-01,8.150855488730262550e+02,8.331151987207999809e+02,2.929955289230095161e+01,7.194719471947194078e-01,1.156976292378615045e-01,2.779762962452148045e-01,2.955525580999810487e+01,3.158042887447152225e+00,3.000000000000000000e+00,3.000000000000000000e+00,Fail
2.955638234701052625e+01,3.156918290159481444e+00,2.955863542103536901e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.119788819202882646e-01,6.906769322329500138e-01,8.226801371402883660e+02,8.129264520680682153e+02,2.893017028429493376e+00,6.894409937888199558e-01,1.221348550349610207e-01,2.820194959607016383e-01,2.955750888402294763e+01,3.158042887447152225e+00,2.000000000000000000e+00,3.000000000000000000e+00,Fail
2.955863542103536901e+01,3.156918290159481444e+00,2.956088849506021177e+01,3.159167484734823450e+00,1.174267056883402027e+01,1.168813327253346479e+01,0.000000000000000000e+00,5.595762227673861666e-01,6.695360289712677382e-01,8.355154853577656695e+02,8.405873360719544962e+02,1.783712048516757420e+01,3.495652173913043614e-01,1.362297897110837652e-01,2.678959995051062859e-01,2.955976195804779039e+01,3.158042887447152225e+00,1.000000000000000000e+00,4.000000000000000000e+00,Fail
2.956088849506021177e+01,3.156918290159481444e+00,2.956314156908505453e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.864372134453390562e-01,6.837038792579216429e-01,8.548965866276786301e+02,8.442723834916137093e+02,-4.221216961620299024e+00,4.892566782810685022e-01,1.235279498381324503e-01,2.637443873541103212e-01,2.956201503207263315e+01,3.158042887447152225e+00,1.000000000000000000e+00,4.000000000000000000e+00,Fail
2.956314156908505453e+01,3.156918290159481444e+00,2.956539464310989729e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.507515022710712804e-01,6.695434312051896653e-01,8.575598943701547796e+02,8.442634371243991609e+02,1.236308674235920391e+00,-9.990000000000000000e+02,1.258024889588563178e-01,2.524170260748739292e-01,2.956426810609747591e+01,3.158042887447152225e+00,0.000000000000000000e+00,5.000000000000000000e+00,Fail
2.956539464310989729e+01,3.156918290159481444e+00,2.956764771713474005e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.923922560899930190e-01,6.842340104610646900e-01,8.557497330410841414e+02,9.385432316294889006e+02,9.295435983758224552e+01,8.421052631578948566e-02,1.233474061518721743e-01,2.733074530978393257e-01,2.956652118012231867e+01,3.158042887447152225e+00,2.000000000000000000e+00,4.000000000000000000e+00,Fail
2.956764771713474005e+01,3.156918290159481444e+00,2.956990079115958281e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.066462174733840973e-01,6.804816472796791915e-01,8.655854467750101549e+02,6.066917341718538410e+03,5.210051004644482418e+03,-9.990000000000000000e+02,1.225112659162566203e-01,2.820557164295575125e-01,2.956877425414716143e+01,3.158042887447152225e+00,0.000000000000000000e+00,4.000000000000000000e+00,Fail
2.956990079115958281e+01,3.156918290159481444e+00,2.957215386518442557e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.812568016271086879e-01,6.829474249097419181e-01,8.634210881294969795e+02,8.556105640552663090e+02,5.634089340398341861e+00,1.000000000000000000e+00,1.206443366058885525e-01,2.551599343603803693e-01,2.957102732817200419e+01,3.158042887447152225e+00,1.000000000000000000e+00,4.000000000000000000e+00,Fail
2.957215386518442557e+01,3.156918290159481444e+00,2.957440693920926833e+01,3.159167484734823450e+00,1.224998964156888448e+01,1.218548024953650533e+01,0.000000000000000000e+00,5.272639665013959531e-01,6.836953242790801966e-01,8.449076395525327143e+02,1.539523638123111823e+03,7.039726040658633792e+02,8.429003021148037123e-01,1.420828508011413027e-01,2.483860659042154972e-01,2.957328040219684695e+01,3.158042887447152225e+00,3.000000000000000000e+00,5.000000000000000000e+00,Fail
2.957440693920926833e+01,3.156918290159481444e+00,2.957666001323411109e+01,3.159167484734823450e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.014408530027435251e-01,6.934993243126569284e-01,8.579247414568351360e+02,2.530919859770302537e+03,1.683546683409503885e+03,1.693925233644859585e-01,1.255622810606709105e-01,2.751219504728411036e-01,2.957553347622168971e+01,3.158042887447152225e+00,0.000000000000000000e+00,3.000000000000000000e+00,Fail
