Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
26.46930342,-10.05622986,26.47158778,-10.05398067,0,32.08193502,42.48246798,0.389552868,0.616017323,1032.199412,1588.515893,561.2784658,0.570909971,0.155627627,0.189441496,26.4704456,-10.05510527,7,8,Pass,Pass
26.30710886,-10.03373792,26.30939321,-10.03148872,0,66.00393604,14.5527339,0.42765418,0.627088069,1162.91235,1162.376767,3.891906738,1,0.143067653,0.185203794,26.30825104,-10.03261332,5,8,Pass,Fail
26.88735108,-10.03598711,26.88963543,-10.03373792,48.09247686,41.22182557,17.15855798,0.358794778,0.581221581,915.5282538,915.0716187,6.440612793,0.8,0.137009997,0.166519729,26.88849325,-10.03486252,3,5,Pass,Fail
27.11122591,-10.00899678,27.11351026,-10.00674758,0,37.84796896,31.31931467,0.360670664,0.583235013,895.1314856,-999,-999,-999,0.147298635,0.176345988,27.11236809,-10.00787218,5,4,Pass,Pass
27.09066672,-10.01799356,27.09295108,-10.01574436,0,25.02747842,23.09337036,0.346707184,0.551185331,891.3707112,891.0823975,6.926055908,0.5,0.139294001,0.170793574,27.0918089,-10.01686896,5,4,Pass,Fail
26.94217828,-10.00674758,26.94446264,-10.00449839,0,22.81912976,12.76398909,0.351049809,0.589850342,913.7664764,913.8055443,7.62868974,0.247904192,0.13332189,0.160997548,26.94332046,-10.00562299,5,5,Pass,Fail
26.94217828,-10.00899678,26.94446264,-10.00674758,0,39.19745176,25.24648916,0.348353643,0.596233566,914.6065883,912.785496,5.134003895,0.995245642,0.136399369,0.157947981,26.94332046,-10.00787218,6,5,Pass,Pass
26.93304087,-10.01574436,26.93532522,-10.01349517,50.99327102,16.86896219,31.03225076,0.385627554,0.636230824,909.1554039,677.8295898,-224.8612671,-999,0.147626391,0.168124883,26.93418304,-10.01461976,6,1,Pass,Pass
26.92847216,-10.01799356,26.93075651,-10.01574436,48.0104779,45.1476905,13.90127552,0.378598195,0.636235855,906.8093232,940.3075863,40.47528232,0.820026178,0.139913708,0.168159379,26.92961433,-10.01686896,5,3,Pass,Fail
26.93075651,-10.01799356,26.93304087,-10.01574436,33.75006192,41.16048039,17.66650068,0.378896419,0.632780725,909.1111419,906.3240945,7.580849951,0.299450549,0.146088549,0.172945725,26.93189869,-10.01686896,5,2,Pass,Fail
26.93304087,-10.01799356,26.93532522,-10.01574436,34.89710746,62.50747708,48.29571552,0.36024923,0.626655878,912.2145668,678.1815425,-227.4891013,-999,0.160892784,0.184775211,26.93418304,-10.01686896,3,2,Pass,Pass
26.93532522,-10.01799356,26.93760957,-10.01574436,100,61.89396874,33.29576793,0.369708724,0.618503454,914.048094,905.5632112,-2.09508487,0.723062382,0.151430129,0.177168491,26.9364674,-10.01686896,3,0,Pass,Pass
26.90334426,-10.02699033,26.90562861,-10.02474114,51.9088144,51.71121285,58.95638608,0.409458212,0.587962061,910.8151722,3070.031343,2166.551955,0.297549592,0.131987864,0.166356313,26.90448644,-10.02586574,5,8,Pass,Pass
26.92390345,-10.02699033,26.9261878,-10.02474114,25.37224408,25.82499866,11.32864801,0.437653206,0.623116118,912.0895026,909.8422852,6.109313965,1,0.155788239,0.198867859,26.92504563,-10.02586574,5,4,Pass,Fail
26.94217828,-10.0832202,26.94446264,-10.080971,0,28.89213777,7.210147852,0.372161245,0.604598991,935.7628369,-3792.957103,-4721.537354,-999,0.143410309,0.167036486,26.94332046,-10.0820956,6,7,Pass,Fail
27.2117402,-10.03148872,27.21402456,-10.02923953,0,47.3559888,67.70128342,0.324536541,0.572428938,875.2559583,-2727.954164,-3596.141501,0.637393768,0.160959346,0.183735548,27.21288238,-10.03036413,5,8,Pass,Pass
27.22773068,-10.06747584,27.23001504,-10.06522664,0,39.56565679,14.86747233,0.359581212,0.594700484,874.4970332,-999,-999,-999,0.147738699,0.178681198,27.22887286,-10.06635124,5,6,Pass,Fail
27.23231846,-10.10348287,27.23460345,-10.10123368,0,35.75270035,11.98789417,0.405791387,0.581264938,875.0647127,-999,-999,-999,0.134127412,0.177327451,27.23346096,-10.10235827,5,6,Pass,Fail
27.1592215,-10.09673529,27.16150649,-10.09448609,0,65.92468897,14.76408345,0.33106656,0.5495984,885.2508169,-12160.06836,-13039.95978,-999,0.146100759,0.169676347,27.160364,-10.09561069,7,5,Pass,Fail
27.10209676,-10.09898448,27.10438175,-10.09673529,23.33030833,32.68633811,24.87530853,0.332024355,0.527844251,883.9985596,-999,-999,-999,0.131805257,0.157155477,27.10323925,-10.09785988,7,3,Pass,Fail
26.37565173,-10.17995549,26.37793672,-10.17770629,31.40389023,31.27602553,46.04206256,0.421926785,0.427095493,1485.967853,1455.376368,-25.54482204,0.817813765,0.166685066,0.26152063,26.37679422,-10.17883089,4,4,Pass,Pass
26.33228274,-10.20696574,26.33456837,-10.20471654,21.11107342,20.96748892,74.13672699,0.429264137,0.426183206,1486.610837,4200.393568,2773.825845,-999,0.132285354,0.21665803,26.33342555,-10.20584114,4,6,Pass,Pass
26.91935134,-10.19122138,26.92163698,-10.18897218,0,55.48422373,25.72385039,0.344721582,0.594905354,964.4992521,966.3812168,8.681886477,0.264797508,0.147632021,0.168475553,26.92049416,-10.19009678,8,7,Pass,Pass
26.38023261,-10.1822246,26.38251824,-10.1799754,29.76624755,29.67323396,53.15255629,0.41960053,0.418230711,1482.280195,1174.963535,-208.9680205,-999,0.160197955,0.257350757,26.38137543,-10.1811,1,2,Pass,Pass
26.38251824,-10.18447379,26.38480388,-10.1822246,33.60099772,33.35180345,42.98887252,0.419476785,0.407781013,1492.226782,1407.089223,-68.29712564,0.545627376,0.151998894,0.241536562,26.38366106,-10.1833492,1,4,Pass,Pass
26.95822651,-10.28795666,26.96051279,-10.28570747,23.22863051,23.10697055,16.69216339,0.321481637,0.589088218,939.5893559,643.7681386,-287.6583345,0.66514658,0.132758328,0.153166813,26.95936965,-10.28683207,5,5,Pass,Fail
26.94679511,-10.30145183,26.94908139,-10.29920264,29.32550956,24.51667621,19.97434449,0.361656346,0.642591673,951.0790976,3273.583844,2329.173781,0.233944954,0.136374958,0.163536466,26.94793825,-10.30032723,5,7,Pass,Fail
26.93993628,-10.30595022,26.94222255,-10.30370103,28.16790446,37.02017614,19.54409362,0.380106159,0.588481151,956.5901058,3076.831848,2126.69347,0.301848049,0.154846458,0.185935803,26.94107941,-10.30482562,5,8,Pass,Fail
26.94222255,-10.30595022,26.94450883,-10.30370103,62.11699578,91.20205001,57.65589519,0.310365029,0.562944801,956.0639889,957.514022,8.010779906,0.713483146,0.2233643,0.235783084,26.94336569,-10.30482562,3,8,Pass,Pass
26.94450883,-10.30819941,26.94679511,-10.30595022,88.4058831,43.45581408,15.79303313,0.371264827,0.600154808,954.9317716,954.7197657,6.797973744,1,0.157896029,0.186534943,26.94565197,-10.30707482,3,7,Pass,Fail
26.3825299,-10.32169458,26.38481618,-10.31944539,76.9232241,39.9009826,14.01683469,0.411883266,0.617808821,1080.107687,3444.87276,2369.440433,-999,0.152840047,0.200717872,26.38367304,-10.32056998,5,8,Pass,Fail
26.38481618,-10.32169458,26.38710246,-10.31944539,75.27886492,83.17297629,9.835467869,0.355997566,0.58872688,1084.788371,3175.77899,2096.267775,0.284090909,0.206116701,0.240346528,26.38595932,-10.32056998,3,8,Pass,Fail
26.42139665,-10.33743894,26.42368293,-10.33518975,63.29579114,87.64730501,16.99006563,0.401269607,0.611031445,1116.824233,-999,-999,-999,0.194747053,0.236079041,26.42253979,-10.33631435,3,8,Pass,Fail
26.72288834,-10.29920264,26.72517461,-10.29695344,91.45409305,90.34391521,26.78692452,0.36758393,0.621435481,1029.963742,1033.299792,10.40183249,1,0.185941291,0.21632699,26.72403147,-10.29807804,3,8,Pass,Pass
26.72517461,-10.29920264,26.72746089,-10.29695344,95.5307382,64.84658247,12.59912906,0.416808111,0.638228342,1025.538875,-999,-999,-999,0.147362269,0.185348966,26.72631775,-10.29807804,4,7,Pass,Fail
27.05417594,-10.32619297,27.05646222,-10.32394378,40.36263604,37.26537987,48.89061154,0.353347381,0.601898911,925.0155627,-999,-999,-999,0.133255375,0.158433356,27.05531908,-10.32506837,3,2,Pass,Pass
27.05646222,-10.32619297,27.0587485,-10.32394378,60.05231809,56.20449839,51.23498288,0.362236728,0.616134153,924.770122,-999,-999,-999,0.155480711,0.180577785,27.05760536,-10.32506837,4,3,Pass,Pass
27.0587485,-10.32619297,27.06103478,-10.32394378,61.76175911,37.81700343,24.27706244,0.335655537,0.599795281,924.6589688,-999,-999,-999,0.135009066,0.15623572,27.05989164,-10.32506837,3,6,Pass,Fail
27.05188966,-10.32844217,27.05417594,-10.32619297,0,22.37150616,55.77491908,0.383193802,0.610726047,924.3499363,-999,-999,-999,0.12761504,0.156099527,27.0530328,-10.32731757,7,4,Pass,Pass
27.05417594,-10.32844217,27.05646222,-10.32619297,100,99.47658825,71.705859,0.36137188,0.645526855,926.0564847,-999,-999,-999,0.162768998,0.184915569,27.05531908,-10.32731757,0,4,Pass,Pass
27.05646222,-10.32844217,27.0587485,-10.32619297,100,99.72175534,53.50774896,0.370302696,0.64693158,926.0004988,-999,-999,-999,0.170235721,0.196007042,27.05760536,-10.32731757,1,1,Pass,Pass
27.0587485,-10.32844217,27.06103478,-10.32619297,61.68833711,52.40448736,14.71739868,0.388317043,0.627292194,926.1093084,-999,-999,-999,0.152962231,0.185410289,27.05989164,-10.32731757,1,5,Pass,Fail
27.05188966,-10.33069136,27.05417594,-10.32844217,26.81385213,19.42948921,46.9985833,0.375366563,0.60862284,925.4755233,-999,-999,-999,0.135276125,0.161928425,27.0530328,-10.32956676,5,3,Pass,Pass
27.05417594,-10.33069136,27.05646222,-10.32844217,89.93981277,85.50209888,52.61409509,0.369148904,0.642051099,925.5384743,-999,-999,-999,0.157843357,0.18295633,27.05531908,-10.32956676,4,2,Pass,Pass
27.05646222,-10.33069136,27.0587485,-10.32844217,100,99.59920685,70.23857312,0.36800812,0.638541004,925.1155615,-999,-999,-999,0.172926977,0.197640395,27.05760536,-10.32956676,8,2,Pass,Pass
27.0587485,-10.33069136,27.06103478,-10.32844217,60.76756501,88.01502177,40.89754974,0.36771127,0.635078283,926.1409355,-999,-999,-999,0.165938771,0.192870209,27.05989164,-10.32956676,1,3,Pass,Pass
