Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
2.712040588420675746e+01,-8.013495167427983290e+00,2.712267764268242942e+01,-8.011245972856652742e+00,0.000000000000000000e+00,1.103947622527382144e+01,6.449214612802344959e+01,4.160771107790720569e-01,6.128805878270003893e-01,5.767377980833516631e+02,5.629891692243302259e+02,2.923138340541294067e+00,6.099999999999998757e-01,1.388749641834612081e-01,1.818069640932984399e-01,2.712154176344459344e+01,-8.012370570142318016e+00,5.000000000000000000e+00,2.000000000000000000e+00,Pass
2.711359060877974159e+01,-8.015744361999313838e+00,2.711586236725541355e+01,-8.013495167427983290e+00,1.918732381140732812e+01,1.572661359032522554e+01,7.120835845572014478e+01,2.582002887649996192e-01,4.159638363548719964e-01,5.640943648626051754e+02,5.552868668875482854e+02,2.590332824773158293e+00,1.000000000000000000e+00,9.535440179167121999e-02,1.170874866061260428e-01,2.711472648801757757e+01,-8.014619764713648564e+00,5.000000000000000000e+00,7.000000000000000000e+00,Pass
2.711586236725541355e+01,-8.017993556570644387e+00,2.711813412573108550e+01,-8.015744361999313838e+00,0.000000000000000000e+00,1.572663184372948209e+01,6.322111697274752373e+01,4.360786459492549949e-01,6.273438997478701928e-01,5.784954834392774501e+02,5.687535766647836226e+02,1.912882610375994830e+00,6.800606520090977103e-01,1.486144641330016392e-01,1.977848172169540675e-01,2.711699824649324952e+01,-8.016868959284979113e+00,4.000000000000000000e+00,4.000000000000000000e+00,Pass
2.713630819353646118e+01,-8.017993556570644387e+00,2.713857995201213313e+01,-8.015744361999313838e+00,0.000000000000000000e+00,9.960203254803951722e+01,5.095982170409038048e+01,4.334582693661859776e-01,5.851836318996931352e-01,6.030073603211777709e+02,1.389760868952824467e+03,8.004600252867821837e+02,9.034690799396681848e-01,1.625858490274987855e-01,2.290569642512616244e-01,2.713744407277429715e+01,-8.016868959284979113e+00,4.000000000000000000e+00,4.000000000000000000e+00,Pass
2.713176467658511726e+01,-8.020242751141974935e+00,2.713403643506078922e+01,-8.017993556570644387e+00,0.000000000000000000e+00,8.239525307020485911e+01,2.301821570992482791e+01,4.090546049910738224e-01,6.113544383976864394e-01,6.024496879875197237e+02,1.463537635818594026e+03,8.738012615995489796e+02,3.794492948287441214e-01,1.889822461156358824e-01,2.440006570468662705e-01,2.713290055582295324e+01,-8.019118153856309661e+00,2.000000000000000000e+00,7.000000000000000000e+00,Pass
2.713403643506078922e+01,-8.020242751141974935e+00,2.713630819353646118e+01,-8.017993556570644387e+00,0.000000000000000000e+00,9.947871459124644389e+01,7.253493775183608250e+01,3.508124027876069473e-01,5.730581826875837947e-01,6.028608138238578249e+02,2.991121612374690358e+03,2.401180067293654247e+03,7.100570613409414866e-01,2.010843990746735144e-01,2.402725154661289331e-01,2.713517231429862520e+01,-8.019118153856309661e+00,4.000000000000000000e+00,6.000000000000000000e+00,Pass
2.713630819353646118e+01,-8.020242751141974935e+00,2.713857995201213313e+01,-8.017993556570644387e+00,4.426235954326498501e+01,8.899430753022440399e+01,4.982756801754320009e+01,4.131214528649426176e-01,5.896533940797243911e-01,6.044303860939332935e+02,5.937809914888724734e+02,2.858180037445423594e+00,1.000000000000000000e+00,1.827143257119163422e-01,2.370265217149263581e-01,2.713744407277429715e+01,-8.019118153856309661e+00,3.000000000000000000e+00,7.000000000000000000e+00,Pass
2.714539522743914901e+01,-8.020242751141974935e+00,2.714766698591482097e+01,-8.017993556570644387e+00,0.000000000000000000e+00,3.237832416167450589e+01,5.425133109261602016e+01,4.436181102747393523e-01,6.009171465312371785e-01,6.157469624345111470e+02,6.599898226552018059e+02,5.724781675389926505e+01,1.806797853309481394e-01,1.438384606418096623e-01,2.009700490056877398e-01,2.714653110667698499e+01,-8.019118153856309661e+00,3.000000000000000000e+00,6.000000000000000000e+00,Pass
2.712949291810944530e+01,-8.022491945713305483e+00,2.713176467658511726e+01,-8.020242751141974935e+00,0.000000000000000000e+00,9.972540886514784120e+01,1.833910695388772538e+01,3.687093334193590199e-01,5.873498472620058974e-01,5.988977862042048628e+02,9.976263815627121403e+02,4.112776527013639338e+02,3.658931462493253961e-01,2.085363882715648709e-01,2.524738740337859610e-01,2.713062879734728128e+01,-8.021367348427640209e+00,5.000000000000000000e+00,5.000000000000000000e+00,Pass
2.713176467658511726e+01,-8.022491945713305483e+00,2.713403643506078922e+01,-8.020242751141974935e+00,0.000000000000000000e+00,9.954038973839904259e+01,5.902488771113614519e+01,3.253033530217684377e-01,5.624959533243804044e-01,6.018978989020791914e+02,4.544949733767418365e+03,3.956600178042284824e+03,1.483420593368237339e-01,2.262499522567426868e-01,2.593474679163847441e-01,2.713290055582295324e+01,-8.021367348427640209e+00,5.000000000000000000e+00,6.000000000000000000e+00,Pass
2.713403643506078922e+01,-8.022491945713305483e+00,2.713630819353646118e+01,-8.020242751141974935e+00,1.000000000000000000e+02,9.960206282598169025e+01,7.011495353555493182e+01,3.616922696086248279e-01,5.786902538274489860e-01,6.035894490296676622e+02,5.934734915021382449e+02,2.720401849228733848e+00,1.000000000000000000e+00,2.058248533867559626e-01,2.467608201170531645e-01,2.713517231429862520e+01,-8.021367348427640209e+00,4.000000000000000000e+00,4.000000000000000000e+00,Pass
2.714312346896347705e+01,-8.022491945713305483e+00,2.714539522743914901e+01,-8.020242751141974935e+00,0.000000000000000000e+00,3.163832841443085897e+01,5.435685580649148818e+01,4.479739407946607965e-01,6.162266201667642163e-01,6.151497129479968180e+02,6.261993990695137882e+02,2.251592272761593350e+01,4.345598509548207478e-01,1.483876259388994812e-01,2.109608091544788733e-01,2.714425934820131303e+01,-8.021367348427640209e+00,4.000000000000000000e+00,6.000000000000000000e+00,Pass
2.713176467658511726e+01,-8.024741140284636032e+00,2.713403643506078922e+01,-8.022491945713305483e+00,0.000000000000000000e+00,9.929372534463277589e+01,4.111871095109157181e+01,3.365550789389373243e-01,5.641039795113602651e-01,6.019954292084721601e+02,5.905670847654077988e+02,1.642330997114849644e+00,1.000000000000000000e+00,2.167332668783433502e-01,2.531241766715427999e-01,2.713290055582295324e+01,-8.023616542998970758e+00,4.000000000000000000e+00,3.000000000000000000e+00,Pass
2.713403643506078922e+01,-8.024741140284636032e+00,2.713630819353646118e+01,-8.022491945713305483e+00,1.000000000000000000e+02,9.947874483391213118e+01,3.693350716860484084e+01,3.633628973631045644e-01,5.770403308635676520e-01,6.041059558331469361e+02,5.406401736720755480e+02,-4.963870192506633572e+01,7.783572359843546895e-01,2.127777785436877622e-01,2.574777018874259138e-01,2.713517231429862520e+01,-8.023616542998970758e+00,4.000000000000000000e+00,4.000000000000000000e+00,Pass
2.713630819353646118e+01,-8.024741140284636032e+00,2.713857995201213313e+01,-8.022491945713305483e+00,7.122900756178079007e+01,7.123241878002862393e+01,5.495068709470062629e+01,4.399845405638680429e-01,6.258185977425659852e-01,6.076944258639908867e+02,2.500580472727768665e+03,1.906349743602840135e+03,3.105916030534351391e-01,1.585100768878203170e-01,2.203066844516207989e-01,2.713744407277429715e+01,-8.023616542998970758e+00,4.000000000000000000e+00,6.000000000000000000e+00,Pass
2.712722115963377334e+01,-8.026990334855966580e+00,2.712949291810944530e+01,-8.024741140284636032e+00,0.000000000000000000e+00,9.947874639930036267e+01,1.382650557793487778e+01,3.172051762958908450e-01,5.523840701007749487e-01,5.970353918180802566e+02,2.279390964628561505e+03,1.695020753890840979e+03,2.880970432145564808e-01,2.245413016709161269e-01,2.583924080043005778e-01,2.712835703887160932e+01,-8.025865737570301306e+00,3.000000000000000000e+00,4.000000000000000000e+00,Pass
2.712949291810944530e+01,-8.026990334855966580e+00,2.713176467658511726e+01,-8.024741140284636032e+00,0.000000000000000000e+00,9.966376558976273259e+01,6.519712404861361676e+01,2.995315565218428233e-01,5.229463684744548591e-01,6.000426587854785794e+02,5.880319394670501651e+02,1.466102972092053980e+00,1.000000000000000000e+00,2.443962893374312384e-01,2.771257551397226515e-01,2.713062879734728128e+01,-8.025865737570301306e+00,3.000000000000000000e+00,3.000000000000000000e+00,Pass
2.713176467658511726e+01,-8.026990334855966580e+00,2.713403643506078922e+01,-8.024741140284636032e+00,0.000000000000000000e+00,9.947874639924286555e+01,5.958544974967862373e+01,3.146863323952988067e-01,5.472936574810425281e-01,6.022019396912096454e+02,5.940060882568359375e+02,4.056472778320312500e+00,1.000000000000000000e+00,2.311407647658751674e-01,2.648414965376321151e-01,2.713290055582295324e+01,-8.025865737570301306e+00,4.000000000000000000e+00,4.000000000000000000e+00,Pass
2.713403643506078922e+01,-8.026990334855966580e+00,2.713630819353646118e+01,-8.024741140284636032e+00,0.000000000000000000e+00,9.960209248144744265e+01,9.504815172454760841e+01,3.550047292062445958e-01,5.925444107921812309e-01,6.063170514107277995e+02,2.379805338705440136e+03,1.785626262471664859e+03,-9.990000000000000000e+02,1.885743713059636895e-01,2.255333818918445754e-01,2.713517231429862520e+01,-8.025865737570301306e+00,4.000000000000000000e+00,5.000000000000000000e+00,Pass
2.712722115963377334e+01,-8.029239529427297128e+00,2.712949291810944530e+01,-8.026990334855966580e+00,0.000000000000000000e+00,9.929375417164011708e+01,2.872425339654130383e+01,3.084362953511693428e-01,5.388069826433801168e-01,5.966593124965176003e+02,3.093342598567714958e+03,2.509559681217244361e+03,4.114562323517547693e-01,2.394898353125932411e-01,2.736517488665621278e-01,2.712835703887160932e+01,-8.028114932141631854e+00,5.000000000000000000e+00,5.000000000000000000e+00,Pass
