Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
2.791255925113313197e+01,-5.166204484399391283e+00,2.791481798115988866e+01,-5.163955289827021566e+00,7.073471582052884798e+01,7.045401759772045125e+01,4.796391946027171826e+01,4.109286440664285944e-01,6.321227881709063912e-01,8.601747981157463983e+02,8.463388119432228223e+02,1.427000993899610437e+00,1.000000000000000000e+00,1.624991353843551756e-01,2.132266742407525340e-01,2.791368861614650854e+01,-5.165079887113206425e+00,7.000000000000000000e+00,7.000000000000000000e+00,Pass
2.791481798115988866e+01,-5.166204484399391283e+00,2.791707671118664535e+01,-5.163955289827021566e+00,9.420560747486527475e+01,9.377334330998279199e+01,3.893824946432707179e+01,3.830238895845025082e-01,6.431298297527578978e-01,8.625294414535662781e+02,3.378338340504963980e+03,2.530623776753743641e+03,5.152777777777777235e-01,1.741186709978344849e-01,2.135444374473323692e-01,2.791594734617326878e+01,-5.165079887113206425e+00,5.000000000000000000e+00,6.000000000000000000e+00,Pass
2.791255925113313197e+01,-5.168453678971761001e+00,2.791481798115988866e+01,-5.166204484399391283e+00,1.000000000000000000e+02,9.954114372898655461e+01,5.610214270050002483e+01,3.393876145009421808e-01,6.053829904542615825e-01,8.651890664423881390e+02,1.697369209026993303e+03,8.472986835888794985e+02,3.815461346633416406e-01,1.820272478793515114e-01,2.100100713398033725e-01,2.791368861614650854e+01,-5.167329081685576142e+00,4.000000000000000000e+00,8.000000000000000000e+00,Pass
2.791481798115988866e+01,-5.168453678971761001e+00,2.791707671118664535e+01,-5.166204484399391283e+00,9.424999997797645790e+01,9.352526126060800493e+01,5.379129348600483240e+01,3.681699208565136217e-01,6.293465102846019787e-01,8.703893343800818911e+02,8.588059947684533881e+02,2.653301682825973451e+00,8.379414180125923650e-01,1.680515218848454839e-01,1.997796751728822817e-01,2.791594734617326878e+01,-5.167329081685576142e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.791030052110637527e+01,-5.170702873544130718e+00,2.791255925113313197e+01,-5.168453678971761001e+00,6.034910956520933212e+01,6.003477942632632391e+01,4.194122202977255398e+01,4.043883747734882683e-01,6.188810692480370967e-01,8.659403854773645435e+02,8.769527033025567562e+02,2.448074618252840651e+01,2.727272727272727626e-01,1.500810707894338902e-01,2.002701373306896571e-01,2.791142988611975539e+01,-5.169578276257945859e+00,6.000000000000000000e+00,8.000000000000000000e+00,Pass
2.791255925113313197e+01,-5.170702873544130718e+00,2.791481798115988866e+01,-5.168453678971761001e+00,1.000000000000000000e+02,8.955605115129202431e+01,5.197724423131154481e+01,3.811770022229558075e-01,6.284486203554147110e-01,8.710709641255607494e+02,2.109045926878663522e+03,1.250576899858300976e+03,3.316167290886391505e-01,1.740828613503980493e-01,2.171608894889597297e-01,2.791368861614650854e+01,-5.169578276257945859e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.775225241912039209e+01,-5.373170224005785478e+00,2.775451179858434259e+01,-5.370921029433480598e+00,8.058607844698066458e+01,8.618294564637315602e+01,6.909391737436050107e+01,2.891379675458886078e-01,5.506324252344509951e-01,9.215081590310103365e+02,9.343076915740966797e+02,2.769178390502929332e+01,1.000000000000000000e+00,2.115489458160790259e-01,2.341512425976964018e-01,2.775338210885236734e+01,-5.372045626719632594e+00,8.000000000000000000e+00,8.000000000000000000e+00,Pass
2.826937143048851553e+01,-5.582385158182830764e+00,2.827163148206932775e+01,-5.580135963610591610e+00,1.127021164761950445e+01,1.121912586254247834e+01,1.475533320680397154e+01,3.787703641345989136e-01,5.417067555671374324e-01,7.410256482051859166e+02,8.017510490187787582e+02,7.435845087854441715e+01,3.552570634553034457e-01,1.457101387545279014e-01,1.779354972667872015e-01,2.827050145627892164e+01,-5.581260560896710743e+00,4.000000000000000000e+00,6.000000000000000000e+00,Pass
2.827163148206932775e+01,-5.586883547327309074e+00,2.827389153365013996e+01,-5.584634352755069919e+00,2.233314924324516326e+01,2.219039262482605679e+01,2.582328952591056392e+01,3.795395790120488222e-01,5.921933135633034029e-01,7.544699848663193507e+02,7.616963243484497070e+02,2.758642196655273438e+01,-9.990000000000000000e+02,1.513454144688047009e-01,1.870316350969279950e-01,2.827276150785973385e+01,-5.585758950041189053e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.833710011994407552e+01,-5.602647828812976627e+00,2.833936051609862972e+01,-5.600398634240770335e+00,1.000000000000000000e+02,9.953163926350036661e+01,2.189262479295712538e+01,2.945048692789706268e-01,5.809075165796818707e-01,8.290234733893555585e+02,2.954157025685579811e+03,2.139469620988175848e+03,2.131512956255224023e-01,1.987758583539636081e-01,2.162748364560860004e-01,2.833823031802135262e+01,-5.601523231526873481e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
2.796675241310488147e+01,-5.685887947466018666e+00,2.796901315951576095e+01,-5.683638752893844348e+00,0.000000000000000000e+00,4.604034894803079681e+01,1.025592127210055438e+01,3.609098434483595241e-01,6.123418921772861845e-01,6.076475891807135667e+02,8.446558200284370059e+02,2.498371906400476234e+02,7.701257861635218971e-01,1.491388211444898693e-01,1.791918909182720621e-01,2.796788278631031943e+01,-5.684763350179931507e+00,4.000000000000000000e+00,7.000000000000000000e+00,Pass
