Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
2.958792538335832489e+01,3.152419901008797432e+00,2.959017845738316765e+01,3.154669095584139438e+00,9.250935683264273734e+01,9.213721121745891196e+01,3.154674501922800189e+01,4.202501052539916460e-01,6.354524803477278327e-01,8.659148445843399031e+02,8.749390281204912299e+02,1.567799587189713328e+01,6.621196222455404401e-01,1.947658230507733346e-01,2.591230796013890836e-01,2.958905192037074627e+01,3.153544498296468213e+00,3.000000000000000000e+00,8.000000000000000000e+00,Pass
2.959243153140801041e+01,3.150170706433455425e+00,2.959468460543285317e+01,3.152419901008797432e+00,6.912500620225956993e+01,6.876097790666531751e+01,3.982789271678100818e+01,2.983250138331823842e-01,5.397918299699024924e-01,8.834908099600922924e+02,2.374662445146810569e+03,1.504314075303261689e+03,-9.990000000000000000e+02,1.932599137513311971e-01,2.263328527481874020e-01,2.959355806842043179e+01,3.151295303721126650e+00,1.000000000000000000e+00,7.000000000000000000e+00,Pass
2.959243153140801041e+01,3.147921511858113419e+00,2.959468460543285317e+01,3.150170706433455425e+00,6.830941780172790345e+01,6.807708626338363445e+01,1.138658530394117641e+01,3.479334649924921696e-01,6.009622241908244566e-01,8.902154425823866859e+02,8.583499755859375000e+02,-1.906857299804687500e+01,1.000000000000000000e+00,2.024940358457365530e-01,2.459495873646149744e-01,2.959355806842043179e+01,3.149046109145784200e+00,0.000000000000000000e+00,5.000000000000000000e+00,Pass
2.959468460543285317e+01,3.147921511858113419e+00,2.959693767945769594e+01,3.150170706433455425e+00,1.411617918594057031e+01,1.405061543012643455e+01,8.498818164037265888e+01,3.856106153500879485e-02,2.541869967535322350e-01,8.811476110174255609e+02,8.280039062500000000e+02,-3.640911865234375000e+01,1.000000000000000000e+00,1.062200092314675298e-01,1.152607074775914148e-01,2.959581114244527456e+01,3.149046109145784200e+00,4.000000000000000000e+00,8.000000000000000000e+00,Pass
2.960369690153222422e+01,3.147921511858113419e+00,2.960594997555706698e+01,3.150170706433455425e+00,7.918751301603951731e+01,7.877048854162546832e+01,4.131628499549104561e+01,1.844892180731967091e-01,4.225167147923891697e-01,8.824918742619356635e+02,-9.990000000000000000e+02,-9.990000000000000000e+02,-9.990000000000000000e+02,1.714539936730639924e-01,1.919183403808022159e-01,2.960482343854464560e+01,3.149046109145784200e+00,5.000000000000000000e+00,7.000000000000000000e+00,Pass
2.960594997555706698e+01,3.147921511858113419e+00,2.960820304958190974e+01,3.150170706433455425e+00,7.203495629849624038e+01,7.174516880435085397e+01,2.445739895900588223e+01,2.415058844673953764e-01,4.628995374190111312e-01,8.870378843235345130e+02,-9.990000000000000000e+02,-9.990000000000000000e+02,-9.990000000000000000e+02,1.626340364529517135e-01,1.999603378347226124e-01,2.960707651256948836e+01,3.149046109145784200e+00,6.000000000000000000e+00,7.000000000000000000e+00,Pass
2.955638234701052625e+01,3.145672317282771413e+00,2.955863542103536901e+01,3.147921511858113419e+00,9.600000492294482513e+01,9.549443438381064198e+01,2.074766030560945040e+01,3.094560227188857260e-01,5.577070486759146961e-01,8.350396223233859700e+02,8.358471344992582317e+02,9.460558786839882828e+00,-9.990000000000000000e+02,1.841540563885081805e-01,2.224155481394088363e-01,2.955750888402294763e+01,3.146796914570442638e+00,2.000000000000000000e+00,4.000000000000000000e+00,Pass
2.955863542103536901e+01,3.145672317282771413e+00,2.956088849506021177e+01,3.147921511858113419e+00,9.592986349732241536e+01,9.524574117945618923e+01,8.611283557962288171e+00,3.573001019540528178e-01,6.139970384186709262e-01,8.385596087909622156e+02,3.760918794417618756e+03,2.932614726776079806e+03,-9.990000000000000000e+02,1.822173076650712154e-01,2.313921487678679001e-01,2.955976195804779039e+01,3.146796914570442638e+00,0.000000000000000000e+00,6.000000000000000000e+00,Pass
2.959243153140801041e+01,3.145672317282771413e+00,2.959468460543285317e+01,3.147921511858113419e+00,9.330544002858096064e+01,8.318459718446543150e+01,1.670779734248735338e+01,3.805236291544741856e-01,6.284473998700947917e-01,8.900791767418321569e+02,8.777534179687500000e+02,4.330505371093750000e+00,1.000000000000000000e+00,1.893863811853716550e-01,2.353620879656413145e-01,2.959355806842043179e+01,3.146796914570442638e+00,0.000000000000000000e+00,6.000000000000000000e+00,Pass
2.959468460543285317e+01,3.145672317282771413e+00,2.959693767945769594e+01,3.147921511858113419e+00,2.422235804506832579e+01,2.275452086708698474e+01,3.763448587909849863e+01,3.671045110545605450e-01,5.288197543243927656e-01,8.805804529871298882e+02,8.994331441097122024e+02,3.501718556795188420e+01,2.661870503597122406e-01,1.246538811880984893e-01,2.021166132884374411e-01,2.959581114244527456e+01,3.146796914570442638e+00,5.000000000000000000e+00,7.000000000000000000e+00,Pass
