Mininum Longitude,Minimum Latitude,Maximum Longitude,Maximum Latitude,Percent Vegetation Loss,Percent Bare Initial,Percent Significant VH Values,Average NIR/G,Average SWIR1/B,NASA Elev,GEDI Elev,Elev Loss,GEDI Qual. Flag,B5 Value,B6 Value,Center Lon,Center Lat,Elevation Score,Band Variation Score,Status
2.908797074600330745e+01,-7.002249194571696478e+00,2.909023729037174633e+01,-7.000000000000000000e+00,0.000000000000000000e+00,1.001342929361605627e+01,1.610492124488629884e+01,4.474548480380944881e-01,6.442901603820339052e-01,1.591836136096987502e+03,1.576095947265625000e+03,-6.309204101562500000e+00,1.000000000000000000e+00,1.362533430139112878e-01,1.732448128664959286e-01,2.908910401818752689e+01,-7.001124597285848239e+00,1.000000000000000000e+00,1.000000000000000000e+00,Pass
2.908797074600330745e+01,-7.008996778286785911e+00,2.909023729037174633e+01,-7.006747583715089434e+00,0.000000000000000000e+00,2.769139174795821035e+01,1.867499333502383152e+01,4.027373744931240784e-01,5.892871144269050676e-01,1.588165372367171130e+03,2.299693574918733702e+03,7.157740794361887993e+02,-9.990000000000000000e+02,1.445576058272567410e-01,1.830028900575005890e-01,2.908910401818752689e+01,-7.007872181000937672e+00,2.000000000000000000e+00,4.000000000000000000e+00,Pass
2.908797074600330745e+01,-7.011245972858482389e+00,2.909023729037174633e+01,-7.008996778286785911e+00,0.000000000000000000e+00,7.324625046627950553e+01,5.276510357398873907e+01,3.685238145140591337e-01,5.891615379885777326e-01,1.593577709497206797e+03,1.584140472530854822e+03,4.536640568002189511e+00,1.000000000000000000e+00,1.926914872891984376e-01,2.279446037728263263e-01,2.908910401818752689e+01,-7.010121375572634150e+00,1.000000000000000000e+00,4.000000000000000000e+00,Pass
2.908570420163486858e+01,-7.013495167430178867e+00,2.908797074600330745e+01,-7.011245972858482389e+00,0.000000000000000000e+00,3.405796684773208227e+01,1.098135649924176427e+01,4.410900753629731774e-01,6.332196150762461340e-01,1.586223923124198109e+03,-9.990000000000000000e+02,-9.990000000000000000e+02,-9.990000000000000000e+02,1.376350289553568973e-01,1.793274762628930818e-01,2.908683747381908802e+01,-7.012370570144330628e+00,1.000000000000000000e+00,1.000000000000000000e+00,Pass
2.908797074600330745e+01,-7.013495167430178867e+00,2.909023729037174633e+01,-7.011245972858482389e+00,0.000000000000000000e+00,9.549830947610581688e+01,7.072254397484138622e+01,3.312039135937406842e-01,5.860927521485441716e-01,1.598697883509243184e+03,1.591517530274466480e+03,3.434174259294322962e+00,1.938883034773445646e-01,2.137375753576863102e-01,2.436182993816931597e-01,2.908910401818752689e+01,-7.012370570144330628e+00,0.000000000000000000e+00,5.000000000000000000e+00,Pass
2.817454287235249666e+01,-7.132722399177200856e+00,2.817680985668815197e+01,-7.130473204605538129e+00,1.584833276502260979e+01,1.575888596147559717e+01,1.201382514562929060e+01,4.439779580416584048e-01,5.698270862549776883e-01,6.156142537730571576e+02,6.148774800477631288e+03,5.548699604636916774e+03,-9.990000000000000000e+02,1.070473730155170194e-01,1.622618309227731037e-01,2.817567636452032431e+01,-7.131597801891369492e+00,5.000000000000000000e+00,5.000000000000000000e+00,Pass
2.870266069360230432e+01,-7.150715955750478692e+00,2.870492767793795608e+01,-7.148466761178816853e+00,1.587796835495649184e+01,1.575893302819416419e+01,1.550679060009043120e+01,4.306333042101447850e-01,6.371893973664644051e-01,1.028318417965476556e+03,1.022981309189710487e+03,8.358604399407290941e+00,1.000000000000000000e+00,1.467873951790554521e-01,1.962858379757256855e-01,2.870379418577012842e+01,-7.149591358464647328e+00,3.000000000000000000e+00,8.000000000000000000e+00,Pass
2.902677976762927159e+01,-7.110230453460573585e+00,2.902904675196492690e+01,-7.107981258888910858e+00,0.000000000000000000e+00,1.575889527146106772e+01,3.589130760656721009e+01,3.972694150902714161e-01,6.031623203374205655e-01,1.551609392450302039e+03,4.675831567564041507e+03,3.130766424346956683e+03,-9.990000000000000000e+02,1.258900872324921205e-01,1.671094005457180176e-01,2.902791325979709924e+01,-7.109105856174742222e+00,1.000000000000000000e+00,6.000000000000000000e+00,Pass
2.900410992427271850e+01,-7.134971593748863583e+00,2.900637690860837381e+01,-7.132722399177200856e+00,0.000000000000000000e+00,1.081495450958007609e+01,1.272022588430014345e+01,4.027600160672194507e-01,5.905035809459578955e-01,1.501938488183695881e+03,1.493671818978849615e+03,2.479046129458770675e+00,6.849907350216182245e-01,1.290088618623111416e-01,1.659226882782584012e-01,2.900524341644054616e+01,-7.133846996463032220e+00,3.000000000000000000e+00,8.000000000000000000e+00,Pass
2.888173553936905336e+01,-7.233956074350334831e+00,2.888400296943697754e+01,-7.231706879778704966e+00,0.000000000000000000e+00,1.686811570769810231e+01,4.423146619036694460e+01,4.331953501712028087e-01,6.493886170724716411e-01,1.445003743225877997e+03,2.075720092553292488e+03,6.455442610001971389e+02,3.841298467087465585e-01,1.385939903359754699e-01,1.721685902045287098e-01,2.888286925440301545e+01,-7.232831477064520342e+00,0.000000000000000000e+00,7.000000000000000000e+00,Pass
